Current Real Time,Time Elapsed (sec),Local Server Time,Remote Est Time,Diff
5237935342,18.5,20750675,,#N/A
5238435343,19,21250676,,#N/A
5238495891,19.06,21311225,21311160,-65
5238935344,19.5,21750678,,#N/A
5239435345,20,22250679,,#N/A
5239499324,20.07,22314657,22315194,537
5239935346,20.5,22750680,,#N/A
5240435348,21,23250682,,#N/A
5240503232,21.07,23318565,23319373,808
5240935350,21.5,23750683,,#N/A
5241435351,22,24250685,,#N/A
5241507184,22.07,24322518,24323300,782
5241935352,22.5,24750686,,#N/A
5242435354,23,25250687,,#N/A
5242511405,23.08,25326738,25327014,276
5242935355,23.5,25750689,,#N/A
5243435358,24,26250691,,#N/A
5243514349,24.08,26329683,26329859,176
5243935359,24.5,26750692,,#N/A
5244435360,25,27250693,,#N/A
5244518192,25.08,27333525,27334035,510
5244935361,25.5,27750694,,#N/A
5245435364,26,28250698,,#N/A
5245522395,26.09,28337728,28338576,848
5245935366,26.5,28750699,,#N/A
5246435367,27,29250701,,#N/A
5246530439,27.1,29345773,29347811,2038
5246935368,27.5,29750702,,#N/A
5247435369,28,30250702,,#N/A
5247532001,28.1,30347335,30346814,-521
5247935371,28.5,30750704,,#N/A
5248435373,29,31250706,,#N/A
5248534911,29.1,31350245,31350360,115
5248935375,29.5,31750708,,#N/A
5249435377,30,32250710,,#N/A
5249537530,30.1,32352864,32352875,11
5249935378,30.5,32750712,,#N/A
5250435379,31,33250712,,#N/A
5250551754,31.12,33367088,33360240,-6848
5250935381,31.5,33750714,,#N/A
5251435383,32,34250716,,#N/A
5251554950,32.12,34370283,34370100,-183
5251935384,32.5,34750718,,#N/A
5252435385,33,35250719,,#N/A
5252557649,33.12,35372983,35373081,98
5252935387,33.5,35750720,,#N/A
5253435388,34,36250722,,#N/A
5253559395,34.13,36374729,36374119,-610
5253935389,34.5,36750722,,#N/A
5254435390,35,37250723,,#N/A
5254562162,35.13,37377496,37377539,43
5254935391,35.5,37750724,,#N/A
5255435392,36,38250725,,#N/A
5255565218,36.13,38380551,38380357,-194
5255935393,36.5,38750726,,#N/A
5256435395,37,39250728,,#N/A
5256567694,37.13,39383027,39382931,-96
5256935396,37.5,39750729,,#N/A
5257435397,38,40250731,,#N/A
5257571059,38.14,40386393,40385995,-398
5257935398,38.5,40750731,,#N/A
5258435400,39,41250733,,#N/A
5258573659,39.14,41388993,41388748,-245
5258935401,39.5,41750734,,#N/A
5259435403,40,42250736,,#N/A
5259577298,40.14,42392632,42392238,-394
5259935404,40.5,42750737,,#N/A
5260435760,41,43251093,,#N/A
5260581169,41.15,43396503,43396308,-195
5260935761,41.5,43751094,,#N/A
5261435762,42,44251096,,#N/A
5261588642,42.15,44403975,44401541,-2434
5261935763,42.5,44751097,,#N/A
5262435764,43,45251097,,#N/A
5262592689,43.16,45408024,45408156,132
5262935766,43.5,45751099,,#N/A
5263435767,44,46251100,,#N/A
5263596330,44.16,46411664,46412095,431
5263935770,44.5,46751104,,#N/A
5264435771,45,47251104,,#N/A
5264600084,45.17,47415418,47415667,249
5264935772,45.5,47751105,,#N/A
5265435773,46,48251107,,#N/A
5265603919,46.17,48419253,48419123,-130
5265935775,46.5,48751109,,#N/A
5266435823,47,49251156,,#N/A
5266608155,47.17,49423489,49423407,-82
5266935824,47.5,49751157,,#N/A
5267435825,48,50251159,,#N/A
5267611150,48.18,50426484,50426258,-226
5267935826,48.5,50751159,,#N/A
5268435828,49,51251162,,#N/A
5268614113,49.18,51429446,51429102,-344
5268935829,49.5,51751163,,#N/A
5269435831,50,52251164,,#N/A
5269617629,50.18,52432963,52432771,-192
5269935833,50.5,52751166,,#N/A
5270435834,51,53251167,,#N/A
5270619761,51.19,53435095,53434403,-692
5270936240,51.5,53751574,,#N/A
5271436241,52,54251575,,#N/A
5271622620,52.19,54437954,54437535,-419
5271936243,52.5,54751576,,#N/A
5272436244,53,55251577,,#N/A
5272625489,53.19,55440823,55440454,-369
5272936246,53.5,55751579,,#N/A
5273436247,54,56251580,,#N/A
5273628611,54.19,56443945,56443549,-396
5273936249,54.5,56751582,,#N/A
5274436250,55,57251584,,#N/A
5274630499,55.2,57445832,57444988,-844
5274936252,55.5,57751585,,#N/A
5275436256,56,58251589,,#N/A
5275632233,56.2,58447567,58446523,-1044
5275936259,56.5,58751593,,#N/A
5276436260,57,59251593,,#N/A
5276635351,57.2,59450684,59450145,-539
5276936261,57.5,59751594,,#N/A
5277436262,58,60251596,,#N/A
5277639041,58.21,60454374,60453634,-740
5277936263,58.5,60751596,,#N/A
5278436264,59,61251598,,#N/A
5278641792,59.21,61457126,61456446,-680
5278936268,59.5,61751601,,#N/A
5279436269,60,62251603,,#N/A
5279643547,60.21,62458880,62457724,-1156
5279936270,60.5,62751603,,#N/A
5280436273,61,63251607,,#N/A
5280646558,61.21,63461892,63461420,-472
5280936274,61.5,63751607,,#N/A
5281436275,62,64251609,,#N/A
5281649600,62.22,64464933,64464449,-484
5281936277,62.5,64751610,,#N/A
5282436278,63,65251611,,#N/A
5282653008,63.22,65468342,65467501,-841
5282936280,63.5,65751613,,#N/A
5283436282,64,66251615,,#N/A
5283655740,64.22,66471074,66470575,-499
5283936284,64.5,66751617,,#N/A
5284436286,65,67251619,,#N/A
5284659881,65.23,67475216,67474284,-932
5284936287,65.5,67751621,,#N/A
5285436288,66,68251621,,#N/A
5285662607,66.23,68477941,68477294,-647
5285936289,66.5,68751622,,#N/A
5286436290,67,69251623,,#N/A
5286664450,67.23,69479783,69478389,-1394
5286936291,67.5,69751624,,#N/A
5287436293,68,70251626,,#N/A
5287666334,68.23,70481667,70480442,-1225
5287936302,68.5,70751636,,#N/A
5288436304,69,71251637,,#N/A
5288669292,69.24,71484625,71484062,-563
5288936640,69.5,71751974,,#N/A
5289436641,70,72251975,,#N/A
5289671947,70.24,72487282,72486708,-574
5289936642,70.5,72751975,,#N/A
5290436643,71,73251977,,#N/A
5290690125,71.26,73505459,73512390,6931
5290936644,71.5,73751977,,#N/A
5291436645,72,74251979,,#N/A
5291693207,72.26,74508541,74507832,-709
5291936646,72.5,74751980,,#N/A
5292436647,73,75251980,,#N/A
5292696050,73.26,75511384,75510676,-708
5292936648,73.5,75751981,,#N/A
5293436650,74,76251983,,#N/A
5293698997,74.27,76514330,76513683,-647
5293936652,74.5,76751985,,#N/A
5294436653,75,77251987,,#N/A
5294701941,75.27,77517275,77516549,-726
5294936654,75.5,77751988,,#N/A
5295436655,76,78251988,,#N/A
5295705185,76.27,78520518,78519966,-552
5295936656,76.5,78751989,,#N/A
5296436657,77,79251991,,#N/A
5296708263,77.27,79523597,79522786,-811
5296936658,77.5,79751992,,#N/A
5297436659,78,80251992,,#N/A
5297709953,78.28,80525286,80523801,-1485
5297936661,78.5,80751994,,#N/A
5298436662,79,81251995,,#N/A
5298712546,79.28,81527880,81527084,-796
5298936664,79.5,81751998,,#N/A
5299436665,80,82251998,,#N/A
5299715827,80.28,82531161,82530024,-1137
5299936666,80.5,82751999,,#N/A
5300436667,81,83252001,,#N/A
5300718837,81.29,83534171,83533412,-759
5300936670,81.5,83752003,,#N/A
5301436671,82,84252004,,#N/A
5301721643,82.29,84536976,84535916,-1060
5301936672,82.5,84752005,,#N/A
5302441344,83.01,85256677,,#N/A
5302725000,83.29,85540334,85538964,-1370
5302941366,83.51,85756700,,#N/A
5303441367,84.01,86256700,,#N/A
5303726457,84.29,86541791,86540291,-1500
5303941368,84.51,86756702,,#N/A
5304441369,85.01,87256703,,#N/A
5304729232,85.3,87544566,87543848,-718
5304941370,85.51,87756704,,#N/A
5305441371,86.01,88256704,,#N/A
5305733145,86.3,88548479,88547982,-497
5305941372,86.51,88756706,,#N/A
5306441374,87.01,89256707,,#N/A
5306736421,87.3,89551755,89551003,-752
5306941376,87.51,89756709,,#N/A
5307441377,88.01,90256710,,#N/A
5307739501,88.31,90554835,90553735,-1100
5307941378,88.51,90756711,,#N/A
5308441379,89.01,91256713,,#N/A
5308741589,89.31,91556923,91555176,-1747
5308941396,89.51,91756730,,#N/A
5309441397,90.01,92256731,,#N/A
5309744494,90.31,92559828,92558783,-1045
5309941402,90.51,92756736,,#N/A
5310441403,91.01,93256737,,#N/A
5310745833,91.31,93561167,93559595,-1572
5310941405,91.51,93756738,,#N/A
5311441406,92.01,94256739,,#N/A
5311748888,92.32,94564222,94563203,-1019
5311941407,92.51,94756740,,#N/A
5312441410,93.01,95256743,,#N/A
5312751770,93.32,95567103,95566015,-1088
5312941411,93.51,95756745,,#N/A
5313441412,94.01,96256746,,#N/A
5313753397,94.32,96568731,96566889,-1842
5313941413,94.51,96756747,,#N/A
5314441414,95.01,97256747,,#N/A
5314755613,95.32,97570946,97569007,-1939
5314941416,95.51,97756749,,#N/A
5315441418,96.01,98256751,,#N/A
5315758535,96.32,98573868,98572608,-1260
5315941419,96.51,98756753,,#N/A
5316441420,97.01,99256753,,#N/A
5316761538,97.33,99576872,99575664,-1208
5316941422,97.51,99756755,,#N/A
5317441424,98.01,100256758,,#N/A
5317764494,98.33,100579828,100578626,-1202
5317941426,98.51,100756760,,#N/A
5318441436,99.01,101256769,,#N/A
5318766341,99.33,101581675,101579732,-1943
5318941437,99.51,101756771,,#N/A
5319441438,100.01,102256772,,#N/A
5319768424,100.33,102583758,102581788,-1970
5319941442,100.51,102756776,,#N/A
5320441444,101.01,103256777,,#N/A
5320771048,101.34,103586381,103585090,-1291
5320941445,101.51,103756778,,#N/A
5321441446,102.01,104256779,,#N/A
5321775641,102.34,104590975,104590078,-897
5321941448,102.51,104756781,,#N/A
5322441449,103.01,105256783,,#N/A
5322779072,103.35,105594406,105592831,-1575
5322941450,103.51,105756784,,#N/A
5323441452,104.01,106256785,,#N/A
5323783061,104.35,106598395,106597131,-1264
5323941454,104.51,106756787,,#N/A
5324441455,105.01,107256788,,#N/A
5324786733,105.35,107602066,107600443,-1623
5324941458,105.51,107756792,,#N/A
5325441509,106.01,108256843,,#N/A
5325789352,106.36,108604686,108603293,-1393
5325941522,106.51,108756856,,#N/A
5326441524,107.01,109256857,,#N/A
5326792575,107.36,109607909,109606744,-1165
5326941526,107.51,109756860,,#N/A
5327441527,108.01,110256861,,#N/A
5327794283,108.36,110609616,110607531,-2085
5327941529,108.51,110756863,,#N/A
5328441541,109.01,111256874,,#N/A
5328797783,109.36,111613117,111611742,-1375
5328941545,109.51,111756879,,#N/A
5329441547,110.01,112256880,,#N/A
5329799732,110.37,112615066,112613196,-1870
5329941558,110.51,112756891,,#N/A
5330441561,111.01,113256894,,#N/A
5330802864,111.37,113618197,113616919,-1278
5330941562,111.51,113756895,,#N/A
5331441564,112.01,114256897,,#N/A
5331805798,112.37,114621132,114619700,-1432
5331941565,112.51,114756898,,#N/A
5332441566,113.01,115256900,,#N/A
5332808921,113.38,115624254,115622707,-1547
5332941567,113.51,115756901,,#N/A
5333441568,114.01,116256901,,#N/A
5333811486,114.38,116626820,116625202,-1618
5333941569,114.51,116756902,,#N/A
5334441571,115.01,117256904,,#N/A
5334814340,115.38,117629674,117628307,-1367
5334941572,115.51,117756906,,#N/A
5335441574,116.01,118256908,,#N/A
5335817307,116.38,118632640,118631074,-1566
5335941576,116.51,118756909,,#N/A
5336441577,117.01,119256911,,#N/A
5336829551,117.4,119644885,119647564,2679
5336941579,117.51,119756912,,#N/A
5337441581,118.01,120256914,,#N/A
5337831018,118.4,120646351,120644262,-2089
5337941582,118.51,120756925,,#N/A
5338441583,119.01,121256916,,#N/A
5338837222,119.4,121652555,121650717,-1838
5338941585,119.51,121756918,,#N/A
5339441586,120.01,122256919,,#N/A
5339840813,120.41,122656147,122654322,-1825
5339941588,120.51,122756921,,#N/A
5340441590,121.01,123256924,,#N/A
5340843620,121.41,123658954,123657157,-1797
5340941593,121.51,123756927,,#N/A
5341441595,122.01,124256928,,#N/A
5341846693,122.41,124662027,124660282,-1745
5341941596,122.51,124756930,,#N/A
5342441599,123.01,125256933,,#N/A
5342849557,123.42,125664891,125663394,-1497
5342941600,123.51,125756934,,#N/A
5343441601,124.01,126256935,,#N/A
5343853030,124.42,126668364,126666483,-1881
5343941603,124.51,126756936,,#N/A
5344441604,125.01,127256938,,#N/A
5344856104,125.42,127671438,127669707,-1731
5344941605,125.51,127756938,,#N/A
5345441606,126.01,128256940,,#N/A
5345859190,126.43,128674524,128672995,-1529
5345941608,126.51,128756941,,#N/A
5346441611,127.01,129256944,,#N/A
5346863052,127.43,129678385,129677071,-1314
5346941612,127.51,129756945,,#N/A
5347441613,128.01,130256946,,#N/A
5347865891,128.43,130681225,130679424,-1801
5347941615,128.51,130756948,,#N/A
5348441616,129.01,131256950,,#N/A
5348869111,129.44,131684445,131682780,-1665
5348941617,129.51,131756950,,#N/A
5349441620,130.01,132256954,,#N/A
5349872678,130.44,132688011,132686439,-1572
5349941621,130.51,132756954,,#N/A
5350441623,131.01,133256956,,#N/A
5350876689,131.44,133692023,133690911,-1112
5350941624,131.51,133756958,,#N/A
5351441626,132.01,134256960,,#N/A
5351880166,132.45,134695499,134693671,-1828
5351941627,132.51,134756961,,#N/A
5352441635,133.01,135256970,,#N/A
5352885763,133.45,135701096,135699084,-2012
5352941636,133.51,135756970,,#N/A
5353441639,134.01,136256972,,#N/A
5353888648,134.45,136703981,136702097,-1884
5353941640,134.51,136756973,,#N/A
5354441642,135.01,137256975,,#N/A
5354891978,135.46,137707311,137705053,-2258
5354941644,135.51,137756977,,#N/A
5355441646,136.01,138256979,,#N/A
5355895153,136.46,138710486,138708782,-1704
5355941648,136.51,138756981,,#N/A
5356441651,137.01,139256985,,#N/A
5356898395,137.46,139713729,139711718,-2011
5356941653,137.51,139756986,,#N/A
5357441654,138.01,140256988,,#N/A
5357901974,138.47,140717308,140715752,-1556
5357941656,138.51,140756989,,#N/A
5358441658,139.01,141256992,,#N/A
5358905596,139.47,141720930,141718763,-2167
5358941661,139.51,141756995,,#N/A
5359441663,140.01,142256997,,#N/A
5359908314,140.47,142723648,142721778,-1870
5359941665,140.51,142756998,,#N/A
5360441667,141.01,143257001,,#N/A
5360911185,141.48,143726520,143724550,-1970
5360941670,141.51,143757004,,#N/A
5361441672,142.01,144257005,,#N/A
5361914672,142.48,144730006,144727747,-2259
5361941674,142.51,144757007,,#N/A
5362441676,143.01,145257009,,#N/A
5362918173,143.48,145733507,145731316,-2191
5362941677,143.51,145757010,,#N/A
5363441680,144.01,146257013,,#N/A
5363920048,144.49,146735381,146732566,-2815
5363941682,144.51,146757015,,#N/A
5364441685,145.01,147257018,,#N/A
5364931863,145.5,147747197,147749556,2359
5364941686,145.51,147757019,,#N/A
5365441688,146.01,148257021,,#N/A
5365935153,146.5,148750487,148748187,-2300
5365941690,146.51,148757023,,#N/A
5366441692,147.01,149257025,,#N/A
5366937826,147.5,149753160,149751175,-1985
5366942894,147.51,149758227,,#N/A
5367442895,148.01,150258228,,#N/A
5367940116,148.51,150755450,150752582,-2868
5367942897,148.51,150758230,,#N/A
5368442898,149.01,151258232,,#N/A
5368942698,149.51,151758031,151755953,-2078
5368942900,149.51,151758234,,#N/A
5369442901,150.01,152258235,,#N/A
5369946345,150.51,152761679,152759297,-2382
5369946354,150.51,152761688,,#N/A
5370446356,151.01,153261690,,#N/A
5370949484,151.52,153764818,153762565,-2253
5370949492,151.52,153764826,,#N/A
5371449495,152.02,154264828,,#N/A
5371952274,152.52,154767607,154764957,-2650
5371952281,152.52,154767614,,#N/A
5372452284,153.02,155267618,,#N/A
5372955542,153.52,155770875,155768748,-2127
5372955549,153.52,155770882,,#N/A
5373455550,154.02,156270883,,#N/A
5373959143,154.53,156774493,156771864,-2629
5373959172,154.53,156774506,,#N/A
5374459174,155.03,157274507,,#N/A
5374962032,155.53,157777366,157775335,-2031
5374962046,155.53,157777379,,#N/A
5375462049,156.03,158277384,,#N/A
5375966520,156.53,158781854,158779497,-2357
5375966529,156.53,158781863,,#N/A
5376466531,157.03,159281864,,#N/A
5376969811,157.54,159785145,159783180,-1965
5376969853,157.54,159785186,,#N/A
5377469854,158.04,160285187,,#N/A
5377971866,158.54,160787200,160784850,-2350
5377971874,158.54,160787207,,#N/A
5378471875,159.04,161287208,,#N/A
5378976194,159.54,161791528,161789986,-1542
5378976203,159.54,161791537,,#N/A
5379476204,160.04,162291537,,#N/A
5379980509,160.55,162795843,162793941,-1902
5379980562,160.55,162795896,,#N/A
5380480564,161.05,163295897,,#N/A
5380984667,161.55,163800001,163797756,-2245
5380984675,161.55,163800008,,#N/A
5381484676,162.05,164300009,,#N/A
5381988048,162.55,164803382,164800785,-2597
5381988055,162.55,164803389,,#N/A
5382488056,163.05,165303390,,#N/A
5382988057,163.55,165803390,,#N/A
5382992848,163.56,165808182,165805745,-2437
5383488061,164.05,166303395,,#N/A
5383988063,164.55,166803397,,#N/A
5383996648,164.56,166811982,166809393,-2589
5384488065,165.05,167303398,,#N/A
5384988067,165.55,167803400,,#N/A
5384999419,165.57,167814753,167812414,-2339
5385488071,166.05,168303405,,#N/A
5385988072,166.55,168803405,,#N/A
5386002345,166.57,168817678,168815226,-2452
5386488073,167.05,169303407,,#N/A
5386988074,167.55,169803408,,#N/A
5387005621,167.57,169820955,169818752,-2203
5387488077,168.05,170303410,,#N/A
5387988078,168.55,170803411,,#N/A
5388007221,168.57,170822555,170819501,-3054
5388488080,169.05,171303415,,#N/A
5388988083,169.55,171803417,,#N/A
5389010896,169.58,171826230,171823400,-2830
5389488084,170.05,172303418,,#N/A
5389988085,170.55,172803418,,#N/A
5390014093,170.58,172829427,172827003,-2424
5390488086,171.05,173303419,,#N/A
5390988087,171.55,173803421,,#N/A
5391017206,171.58,173832539,173830287,-2252
5391488088,172.05,174303421,,#N/A
5391988090,172.55,174803423,,#N/A
5392020219,172.59,174835552,174833195,-2357
5392488091,173.05,175303425,,#N/A
5392988092,173.55,175803426,,#N/A
5393027825,173.59,175843159,175837380,-5779
5393488093,174.05,176303427,,#N/A
5393988097,174.55,176803430,,#N/A
5394030556,174.6,176845890,176843220,-2670
5394488099,175.05,177303432,,#N/A
5394988100,175.55,177803434,,#N/A
5395034456,175.6,177849790,177847405,-2385
5395488101,176.05,178303434,,#N/A
5395988103,176.55,178803436,,#N/A
5396038186,176.6,178853520,178850865,-2655
5396488105,177.05,179303438,,#N/A
5396988106,177.55,179803439,,#N/A
5397041427,177.61,179856761,179853842,-2919
5397488108,178.05,180303442,,#N/A
5397988110,178.55,180803443,,#N/A
5398043411,178.61,180858744,180855837,-2907
5398488111,179.05,181303444,,#N/A
5398988113,179.55,181803446,,#N/A
5399046111,179.61,181861445,181858703,-2742
5399488114,180.05,182303447,,#N/A
5399988115,180.55,182803448,,#N/A
5400048800,180.61,182864134,182861474,-2660
5400488116,181.05,183303449,,#N/A
5400988121,181.55,183803454,,#N/A
5401051885,181.62,183867218,183864696,-2522
5401488123,182.05,184303456,,#N/A
5401988124,182.55,184803457,,#N/A
5402054625,182.62,184869959,184867279,-2680
5402488125,183.05,185303458,,#N/A
5402988126,183.55,185803459,,#N/A
5403057907,183.62,185873240,185870353,-2887
5403488128,184.05,186303461,,#N/A
5403988129,184.55,186803463,,#N/A
5404060942,184.63,186876275,186873689,-2586
5404488130,185.05,187303464,,#N/A
5404988131,185.55,187803464,,#N/A
5405063391,185.63,187878725,187875913,-2812
5405489507,186.06,188304841,,#N/A
5405989508,186.56,188804842,,#N/A
5406066956,186.63,188882289,188879050,-3239
5406489509,187.06,189304842,,#N/A
5406989511,187.56,189804844,,#N/A
5407070193,187.64,189885527,189882834,-2693
5407489512,188.06,190304846,,#N/A
5407989513,188.56,190804846,,#N/A
5408073407,188.64,190888741,190885870,-2871
5408489514,189.06,191304848,,#N/A
5408989515,189.56,191804849,,#N/A
5409091830,189.66,191907164,191911784,4620
5409489516,190.06,192304849,,#N/A
5409989519,190.56,192804852,,#N/A
5410095077,190.66,192910411,192907266,-3145
5410489521,191.06,193304855,,#N/A
5410989523,191.56,193804856,,#N/A
5411097849,191.66,193913182,193910338,-2844
5411489524,192.06,194304857,,#N/A
5411989525,192.56,194804859,,#N/A
5412101151,192.67,194916485,194913806,-2679
5412489527,193.06,195304860,,#N/A
5412989629,193.56,195804964,,#N/A
5413104227,193.67,195919561,195916794,-2767
5413489630,194.06,196304964,,#N/A
5413989631,194.56,196804965,,#N/A
5414108269,194.67,196923603,196921308,-2295
5414489632,195.06,197304966,,#N/A
5414989633,195.56,197804967,,#N/A
5415113733,195.68,197929067,197925380,-3687
5415489634,196.06,198304968,,#N/A
5415989635,196.56,198804969,,#N/A
5416132846,196.7,198948180,198952733,4553
5416489637,197.06,199304970,,#N/A
5416989638,197.56,199804972,,#N/A
5417136681,197.7,199952014,199949704,-2310
5417489640,198.06,200304974,,#N/A
5417989642,198.56,200804975,,#N/A
5418140581,198.71,200955915,200953191,-2724
5418489644,199.06,201304977,,#N/A
5418989653,199.56,201804987,,#N/A
5419144289,199.71,201959622,201956824,-2798
5419489654,200.06,202304987,,#N/A
5419989655,200.56,202804988,,#N/A
5420148102,200.71,202963435,202960852,-2583
5420489656,201.06,203304989,,#N/A
5420989658,201.56,203804991,,#N/A
5421151524,201.72,203966858,203963428,-3430
5421489659,202.06,204304992,,#N/A
5421989661,202.56,204804994,,#N/A
5422155514,202.72,204970848,204967827,-3021
5422489662,203.06,205304996,,#N/A
5422989663,203.56,205804996,,#N/A
5423157244,203.72,205972578,205968782,-3796
5423489665,204.06,206304998,,#N/A
5423989666,204.56,206805000,,#N/A
5424159735,204.73,206975069,206971771,-3298
5424489668,205.06,207305001,,#N/A
5424989670,205.56,207805003,,#N/A
5425164744,205.73,207980078,207977047,-3031
5425489672,206.06,208305005,,#N/A
5425989673,206.56,208805006,,#N/A
5426169826,206.74,208985160,208983104,-2056
5426489674,207.06,209305008,,#N/A
5426989675,207.56,209805008,,#N/A
5427172516,207.74,209987850,209984579,-3271
5427489676,208.06,210305009,,#N/A
5427989678,208.56,210805011,,#N/A
5428175054,208.74,210990388,210987141,-3247
5428489681,209.06,211305014,,#N/A
5428989682,209.56,211805015,,#N/A
5429177986,209.74,211993320,211990248,-3072
5429489683,210.06,212305016,,#N/A
5429989684,210.56,212805017,,#N/A
5430180163,210.75,212995496,212991923,-3573
5430489685,211.06,213305019,,#N/A
5430989687,211.56,213805020,,#N/A
5431183149,211.75,213998483,213995109,-3374
5431489690,212.06,214305023,,#N/A
5431989691,212.56,214805024,,#N/A
5432188723,212.75,215004056,215001526,-2530
5432489693,213.06,215305026,,#N/A
5432989695,213.56,215805028,,#N/A
5433191750,213.76,216007083,216003577,-3506
5433489697,214.06,216305030,,#N/A
5433989698,214.56,216805032,,#N/A
5434195399,214.76,217010733,217007095,-3638
5434489700,215.06,217305033,,#N/A
5434990593,215.56,217805927,,#N/A
5435198676,215.76,218014010,218010386,-3624
5435490594,216.06,218305927,,#N/A
5435990595,216.56,218805928,,#N/A
5436201336,216.77,219016670,219013302,-3368
5436490596,217.06,219305930,,#N/A
5436990598,217.56,219805931,,#N/A
5437203997,217.77,220019331,220016067,-3264
5437490600,218.06,220305933,,#N/A
5437990702,218.56,220806036,,#N/A
5438208500,218.77,221023836,221019386,-4450
5438491569,219.06,221306903,,#N/A
5438991732,219.56,221807070,,#N/A
5439211662,219.78,222026996,222022951,-4045
5439491734,220.06,222307067,,#N/A
5439991735,220.56,222807069,,#N/A
5440216000,220.78,223031334,223027253,-4081
5440491737,221.06,223307071,,#N/A
5440991738,221.56,223807071,,#N/A
5441218585,221.78,224033919,224030529,-3390
5441491739,222.06,224307072,,#N/A
5441991740,222.56,224807073,,#N/A
5442221970,222.79,225037303,225033650,-3653
5442491742,223.06,225307075,,#N/A
5442991744,223.56,225807077,,#N/A
5443224924,223.79,226040258,226036872,-3386
5443491746,224.06,226307079,,#N/A
5443991748,224.56,226807081,,#N/A
5444227778,224.79,227043111,227039694,-3417
5444491751,225.06,227307085,,#N/A
5444991752,225.56,227807085,,#N/A
5445230438,225.8,228045771,228042229,-3542
5445491753,226.06,228307087,,#N/A
5445991754,226.56,228807088,,#N/A
5446233262,226.8,229048595,229045127,-3468
5446491755,227.06,229307089,,#N/A
5446991756,227.56,229807089,,#N/A
5447236268,227.8,230051601,230048058,-3543
5447491757,228.06,230307091,,#N/A
5447991759,228.56,230807092,,#N/A
5448238134,228.8,231053468,231049438,-4030
5448491760,229.06,231307094,,#N/A
5448991761,229.56,231807094,,#N/A
5449240577,229.81,232055911,232052393,-3518
5449491762,230.06,232307095,,#N/A
5449991763,230.56,232807096,,#N/A
5450242178,230.81,233057512,233053319,-4193
5450491765,231.06,233307099,,#N/A
5450991766,231.56,233807099,,#N/A
5451245008,231.81,234060342,234056534,-3808
5451491808,232.06,234307144,,#N/A
5451991846,232.56,234807179,,#N/A
5452248088,232.81,235063422,235059800,-3622
5452492871,233.06,235308211,,#N/A
5452992872,233.56,235808205,,#N/A
5453252056,233.82,236067390,236063738,-3652
5453492875,234.06,236308209,,#N/A
5453992876,234.56,236808210,,#N/A
5454254072,234.82,237069406,237065301,-4105
5454492885,235.06,237308219,,#N/A
5454992886,235.56,237808220,,#N/A
5455256725,235.82,238072059,238068515,-3544
5455492887,236.06,238308220,,#N/A
5455992889,236.56,238808222,,#N/A
5456259616,236.83,239074950,239071322,-3628
5456492890,237.06,239308224,,#N/A
5456992893,237.56,239808226,,#N/A
5457262650,237.83,240077983,240074375,-3608
5457492894,238.06,240308227,,#N/A
5457992896,238.56,240808229,,#N/A
5458266340,238.83,241081674,241078027,-3647
5458492898,239.06,241308231,,#N/A
5458992900,239.56,241808233,,#N/A
5459269536,239.84,242084870,242081047,-3823
5459492901,240.06,242308235,,#N/A
5459992903,240.56,242808237,,#N/A
